obj_id	 | ra	 | dec	 | type	 | Type Ref	 | ZSNID Subtype	 | Discovery Date	 | Discoverer	 | Discovery Ref	 | Host Name	 | Host Type	 | Galaxy Redshift	 | Galaxy Redshift Error | z | zerr	 | Reddening	 | Reddening Error	 
2012H	 | 80.0622	 | -25.3156	 | Ia	 | CBET 2984	 | 	 | 2012-01-10	 | Pignata et al. (CHASE)	 | CBET 2984	 | IC 411	 | S0?	 | 0.031852	 | 0.00013	 | 	 | 0	 | 0.02801	 | 0	 
2012ha	 | 195.15	 | 27.5735	 | Ia	 | CBET 3319	 | 	 | 2012-11-20	 | Ferrante et al. (ROTSE)	 | CBET 3319	 | KUG 1258+278	 | Sbc            HII	 | 0.017052	 | 0.000037	 | 	 | 0	 | 0.00571	 | 0	 
2012hb	 | 135.523	 | -64.9055	 | II	 | CBET 3322	 | 	 | 2012-11-04	 | Pignata et al. (CHASE)	 | CBET 3322	 | ESO 90-15	 | SAB(r)b	 | 0.005597	 | 0.000017	 | 	 | 0	 | 0.18436	 | 0	 
2012hc	 | 38.1707	 | -39.2989	 | II	 | CBET 3323	 | 	 | 2012-11-10	 | Cifuentes, Pignata et al. (CHASE)	 | CBET 3323	 | NGC 986	 | (R'_1)SB(rs)b  HII	 | 0.006585	 | 0.000019	 | 	 | 0	 | 0.01752	 | 0	 
2012hd	 | 18.5311	 | -32.6521	 | Ia	 | CBET 3324	 | 	 | 2012-11-20	 | Parker	 | CBET 3324	 | IC 1657	 | (R')SB(s)bc;Sy2HII	 | 0.011952	 | 0.000013	 | 	 | 0	 | 0.02675	 | 0	 
2012he	 | 75.2086	 | -38.6532	 | Ia	 | CBET 3325	 | 	 | 2012-11-22	 | Hamuy, Pignata et al. (CHASE)	 | CBET 3325	 | MCG -06-12-2	 | S0	 | 0.055969	 | 0.000247	 | 	 | 0	 | 0.02114	 | 0	 
2012hf	 | 164.239	 | -14.2938	 | Ic	 | CBET 3326	 | 	 | 2012-11-22	 | Hamuy, Pignata et al. (CHASE)	 | CBET 3326	 | NGC 3469	 | (R')SB(r)ab	 | 0.015497	 | 0.000023	 | 	 | 0	 | 0.05628	 | 0	 
2012hg	 | 106.857	 | 56.3053	 | Ia	 | CBET 3330	 | 	 | 2012-11-25	 | Zhang, Zhou, Chen, Wang	 | CBET 3330	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.04575	 | 0	 
2012hh	 | 40.6651	 | 39.5321	 | Ia	 | CBET 3331	 | 	 | 2012-11-22	 | Newton, Puckett	 | CBET 3331	 | UGC 2180	 | S?	 | 0.031188	 | 0.000073	 | 	 | 0	 | 0.05655	 | 0	 
2012hi	 | 129.925	 | 60.9711	 | II	 | CBET 3332	 | 	 | 2012-12-02	 | Boles	 | CBET 3332	 | UGC 4512	 | Scd:	 | 0.026392	 | 0.000037	 | 	 | 0	 | 0.10925	 | 0	 
